"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"LTC4S",0.0169272167338681,6.70606201587302,0.419748840378996,0.676072272001747,0.999962582242539,-5.85051663011958,"No Signif"
"NTRK3",0.0169270715725798,4.30340958730159,0.810074330661597,0.420894157215582,0.999962582242539,-5.6250809378308,"No Signif"
"VWA2",0.016920541330645,4.74184523809524,0.635545011546656,0.527335127768322,0.999962582242539,-5.74334565422422,"No Signif"
"MTMR7",0.016918711693549,4.16558185714286,0.416386227432811,0.678518126841005,0.999962582242539,-5.85184232805658,"No Signif"
"GPR137C",0.0169154284274207,4.78775325396825,0.765781108085117,0.446616795111034,0.999962582242539,-5.65774956128539,"No Signif"
"MBD3",0.0169140504032228,7.48365965079365,0.642014764055524,0.52315266355665,0.999962582242539,-5.73946344871148,"No Signif"
"FOXM1",0.0169111310483867,4.68304558730159,0.576730656416308,0.56614097913365,0.999962582242539,-5.776856145036,"No Signif"
"TPT1",0.0169018790322539,9.01443795238095,0.415836047793963,0.678918640572917,0.999962582242539,-5.85205822521006,"No Signif"
"SYS1",0.0168918377016078,5.78675317460317,0.775283149603468,0.441022699308111,0.999962582242539,-5.65089289977732,"No Signif"
"CCDC86",0.0168912489919348,6.11732571428571,0.453866947942259,0.651457333420924,0.999962582242539,-5.83646654614397,"No Signif"
"PSKH1",0.0168906864919363,5.79231742857143,1.07936040315403,0.284471150457248,0.999962582242539,-5.38807781690428,"No Signif"
"CIB3",0.0168870362903206,4.56858838095238,0.664580090183208,0.508702542841961,0.999962582242539,-5.72561961506544,"No Signif"
"MID1IP1",0.01688525201613,5.57004657142857,0.65266685499487,0.516304626547844,0.999962582242539,-5.73298713151278,"No Signif"
"ERC2",0.0168764899193548,3.12470750793651,0.827473719710279,0.411038119035898,0.999962582242539,-5.61175638260373,"No Signif"
"SRCAP",0.0168755191532277,6.16765707936508,0.734037241294127,0.465602165359223,0.999962582242539,-5.68005429318132,"No Signif"
"ZNF669",0.0168654072580638,4.58168252380952,0.940543649893889,0.350469199155377,0.999962582242539,-5.51844371483102,"No Signif"
"SLC26A4",0.016855942540321,2.80026158730159,1.20299918961238,0.233400446613787,0.999962582242539,-5.25748242619741,"No Signif"
"ZNF133",0.0168530705645136,4.31528303174603,1.05732414620328,0.294331499904306,0.999962582242539,-5.40992711716696,"No Signif"
"KANK1",0.0168522449596775,4.73205303174603,0.436921327499317,0.663636533304966,0.999962582242539,-5.84358117698532,"No Signif"
"CEP44",0.016849807459677,3.60064479365079,0.756715179818546,0.451992471005994,0.999962582242539,-5.66421422077484,"No Signif"
"DDX1",0.0168402872983844,6.8567136031746,0.29006933137864,0.772699344903194,0.999962582242539,-5.89395085985583,"No Signif"
"SNTB1",0.0168376633064478,4.83349823809524,0.585201534081021,0.560466391198445,0.999962582242539,-5.77222779143248,"No Signif"
"PRELID1",0.0168322227822539,6.90873757142857,0.327437652776642,0.744403707053172,0.999962582242539,-5.8830563346206,"No Signif"
"CMTM8",0.0168286824596757,6.06387106349206,0.495801969397718,0.621729538063196,0.999962582242539,-5.81770488351494,"No Signif"
"RMDN3",0.0168207933467688,6.94859650793651,0.517490449436554,0.606594852174719,0.999962582242539,-5.80735672191939,"No Signif"
"EPPK1",0.0168147227822582,4.31684668253968,0.508214245747857,0.613047381893854,0.999962582242539,-5.81183640166268,"No Signif"
"HDGF",0.0168125796370964,6.69534317460317,0.690939298370806,0.492097908868233,0.999962582242539,-5.70885176565805,"No Signif"
"MTRES1",0.016808732862903,4.26120931746032,0.722427830664354,0.472658552825265,0.999962582242539,-5.68798004451665,"No Signif"
"MICAL1",0.0168057116935474,6.10666246031746,0.996589642484376,0.322710412584879,0.999962582242539,-5.46789524433034,"No Signif"
"FBXO41",0.0168054778225795,5.61536482539683,0.558396746820671,0.578518540628935,0.999962582242539,-5.78664490019197,"No Signif"
"PRTN3",0.0168040332661255,6.10817531746032,0.497119742626263,0.62080518975891,0.999962582242539,-5.81708867241422,"No Signif"
"RPL26",0.0168039536290294,9.64740982539683,0.36062084989719,0.719568395530026,0.999962582242539,-5.87228075802293,"No Signif"
"SGPP2",0.0168016955645145,4.21796993650794,0.859955132883835,0.393018176055793,0.999962582242539,-5.58614184312636,"No Signif"
"LRRC73",0.0167976260080653,5.0135180952381,0.467387560125638,0.641807380197864,0.999962582242539,-5.83059710229529,"No Signif"
"ANKRD45",0.0167943901209684,3.089083,1.03177509598793,0.306054155089347,0.999962582242539,-5.43471565646165,"No Signif"
"TRIM42",0.0167865846774178,3.27589880952381,0.520314891374097,0.604636357282497,0.999962582242539,-5.80597678885479,"No Signif"
"EFCAB14",0.0167844344758068,6.61554452380952,0.219860552435991,0.826678322137008,0.999962582242539,-5.91086218399299,"No Signif"
"NRP1",0.0167761572580636,6.67316219047619,0.226016929441925,0.82190726656412,0.999962582242539,-5.90956519579059,"No Signif"
"TRAM1L1",0.0167713508064495,3.50074155555556,0.449022100993231,0.654929913366387,0.999962582242539,-5.83852810698233,"No Signif"
"WDR26",0.0167627661290304,5.48664190476191,0.373105916116058,0.710300424260199,0.999962582242539,-5.86795854131966,"No Signif"
"ENSA",0.0167614707661254,6.7150706984127,0.267708248567627,0.789783302074399,0.999962582242539,-5.89984126602619,"No Signif"
"FCN2",0.0167521985887102,6.3429206984127,0.545806081134399,0.587093463969675,0.999962582242539,-5.79318599440697,"No Signif"
"ZNF852",0.0167497943548369,4.05305641269841,0.880357941228675,0.381953701241824,0.999962582242539,-5.56956048794051,"No Signif"
"ZC4H2",0.0167496285282263,3.89441063492063,0.640394749784966,0.524198307125285,0.999962582242539,-5.74043918606111,"No Signif"
"SYNE3",0.0167495614919355,4.23540874603175,0.372082159263457,0.711058758296224,0.999962582242539,-5.868318467721,"No Signif"
"METTL22",0.0167474435483879,5.50328944444444,0.894993627222514,0.374138427921239,0.999962582242539,-5.55743274354434,"No Signif"
"OR4P4",0.0167382862903218,2.30274182539683,0.439653048617012,0.661666912976758,0.999962582242539,-5.84245244358524,"No Signif"
"DEFB108B",0.0167376643145154,2.50486341269841,0.604291653911396,0.547782360018152,0.999962582242539,-5.76155272170512,"No Signif"
"WDR93",0.0167329485887087,3.31835292063492,0.887562401539977,0.378093879561903,0.999962582242539,-5.56361490924242,"No Signif"
"C11orf88",0.0167273356854838,2.53301868253968,0.91952651762768,0.361267117822868,0.999962582242539,-5.53666731562237,"No Signif"
"NUDT3",0.016722399193549,6.19517614285714,0.511732084842657,0.610596719428732,0.999962582242539,-5.81014701520193,"No Signif"
"CDC42EP1",0.0167218911290297,7.29440414285714,0.72479823159472,0.471212906235251,0.999962582242539,-5.68637185660542,"No Signif"
"MDGA1",0.0167173578629027,5.3288819047619,0.569817389610535,0.570792954516755,0.999962582242539,-5.78058398211818,"No Signif"
"ATP6V1C1",0.016714532258062,6.44964788888889,0.249239807922331,0.803972081751427,0.999962582242539,-5.90435097086793,"No Signif"
"OR4A5",0.0167012852822568,2.71785906349206,0.524984155328657,0.601405029475525,0.999962582242539,-5.80367921076418,"No Signif"
"TOMM40L",0.0166966179435475,4.73101604761905,0.835112295116971,0.406755845753294,0.999962582242539,-5.60581929417459,"No Signif"
"VPS37A",0.0166948981854809,6.17854120634921,0.279962610697762,0.780407520310291,0.999962582242539,-5.89667153410993,"No Signif"
"ZKSCAN4",0.0166865302419343,3.59993073015873,0.697704112842852,0.487884980668983,0.999962582242539,-5.70444496241225,"No Signif"
"ATP6V0A2",0.0166843568548369,4.39676117460317,0.921428286077821,0.360281351033271,0.999962582242539,-5.53503479226249,"No Signif"
"CMC1",0.0166804924395159,2.90192337301587,0.692645735163473,0.491033309630178,0.999962582242539,-5.70774412631282,"No Signif"
"HPX",0.0166683145161279,4.96551838095238,0.538250503940415,0.592267979982201,0.999962582242539,-5.79704035268517,"No Signif"
"LETMD1",0.0166669627016125,5.75503895238095,0.39445268090165,0.694555987798648,0.999962582242539,-5.86022937505523,"No Signif"
"CBLN2",0.0166657822580607,6.17358212698413,0.588333335129466,0.558375580410883,0.999962582242539,-5.7704997314615,"No Signif"
"FOXO3B",0.0166552414314527,3.69909707936508,0.566162698448356,0.573259722926937,0.999962582242539,-5.78253673039394,"No Signif"
"STOML1",0.0166418084677389,5.75537611111111,0.667448213002201,0.50688134273933,0.999962582242539,-5.72382626443751,"No Signif"
"BRIP1",0.0166315635080632,2.69263474603175,0.948235837949575,0.346570106067496,0.999962582242539,-5.51167399173089,"No Signif"
"RAMP1",0.0166200100806435,6.47304458730159,0.469985159299256,0.639960420715799,0.999962582242539,-5.82944986915885,"No Signif"
"NIPSNAP1",0.0166114455645117,5.0619153015873,0.766824544213236,0.44600048427471,0.999962582242539,-5.65700067109322,"No Signif"
"SDCBP2",0.0166087409274178,5.84277447619048,0.566822622367509,0.572813918389078,0.999962582242539,-5.78218504423368,"No Signif"
"TRAPPC4",0.0166029233870946,5.43837568253968,0.668381007865082,0.506289793472423,0.999962582242539,-5.72324137621703,"No Signif"
"STXBP4",0.0165984112903219,2.87965377777778,1.21795099037959,0.227706130399487,0.999962582242539,-5.24077390253497,"No Signif"
