"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SDHA",-0.0926127802419368,6.66348055555556,-2.61242896912274,0.0111869524974237,0.999989830735706,-2.86719908507185
"RTN4RL1",-0.0926373155241946,4.04068622222222,-2.19997308859088,0.031420700125085,0.999989830735706,-3.71937722345233
"HSD17B11",-0.0929355735887132,5.64443998412698,-2.33456985742287,0.0227109060233333,0.999989830735706,-3.45455666343911
"SNX29",-0.0931006985887146,5.50008111111111,-2.88052884507298,0.00539316620341651,0.999989830735706,-2.25139895492898
"GP6",-0.0953516633064551,5.23749363492063,-2.43791623544839,0.0175554467566779,0.999989830735706,-3.24237442687596
"SLC1A3",-0.0954453155241941,4.36321993650794,-2.35653611858951,0.0215141428566169,0.999989830735706,-3.41009268049239
"CCL5",-0.0956790262096794,5.52279796825397,-2.21091026411803,0.0306167410977309,0.999989830735706,-3.69835332231593
"KLRB1",-0.0959892157258069,2.65995947619048,-3.2804261673987,0.00167864326890972,0.999989830735706,-1.25083074155231
"CNN2",-0.0964673941532279,6.2154093015873,-2.10443048003606,0.0392677156367757,0.999989830735706,-3.89924537092466
"SERPINA3",-0.0966613639112914,4.31936480952381,-2.43404070435886,0.0177280326182324,0.999989830735706,-3.25046751204274
"PRUNE2",-0.09702903125,2.78974741269841,-2.81657597305749,0.00644415707274343,0.999989830735706,-2.40248460861465
"THBD",-0.09716177419355,6.04253976190476,-3.10078194010321,0.00286770399331673,0.999989830735706,-1.71187981990127
"CD48",-0.0976493437500014,3.21569833333333,-2.04857753812503,0.0446031089219767,0.999989830735706,-4.00120877552514
"MIR4653",-0.0978820181451616,2.99495273015873,-2.42689877054402,0.0180500689006986,0.999989830735706,-3.26535408176327
"AXL",-0.0980448296370957,5.814174,-2.73942987273613,0.00796170231648171,0.999989830735706,-2.58128477829331
"ADAMTS9",-0.0985592147177434,3.88853104761905,-2.48337493237157,0.0156407647602552,0.999989830735706,-3.14666255529718
"LOC100133050",-0.0986010776209723,6.7568763968254,-2.17816501003774,0.0330792337956386,0.999989830735706,-3.76103316532934
"MIR548I3",-0.0989761592741942,2.39606949206349,-2.57393135609797,0.0123769700514311,0.999989830735706,-2.95174980759935
"NIFK",-0.0989877157258094,5.01347042857143,-2.01252041776544,0.0483706728548758,0.999989830735706,-4.06576883430035
"MIR3065",-0.0990168548387125,4.23185907936508,-2.19158547853669,0.0320497477458779,0.999989830735706,-3.73544027200772
"DOCK10",-0.0991840977822585,2.9353649047619,-2.81713905789621,0.00643413238527732,0.999989830735706,-2.40116558975887
"IL1B",-0.0993380766129039,4.17581501587302,-2.50547260181495,0.0147797419726591,0.999989830735706,-3.09961867256936
"LOC729603",-0.0995594621975822,3.4441349047619,-3.52734873467543,0.000781735165369003,0.999989830735706,-0.588397926572134
"ZNF331",-0.10055445866936,5.7021588968254,-2.16174081249263,0.0343784652408131,0.999989830735706,-3.79217188555745
"CLEC7A",-0.100754651209678,3.87310787301587,-2.23627455032975,0.0288215250758703,0.999989830735706,-3.64925747281988
"PCAT19",-0.101063890625001,3.88314746031746,-3.1810607636937,0.00226233817358295,0.999989830735706,-1.50810688740306
"MIR30B",-0.101208482862903,2.31990996825397,-3.09306186221927,0.002933285734738,0.999989830735706,-1.73127952374437
"NEK3",-0.101226364919357,4.44186811111111,-2.15418331722452,0.034991143795057,0.999989830735706,-3.80643259243974
"TNFAIP8",-0.101546520161291,6.22644446031746,-2.11369648357537,0.0384384144972895,0.999989830735706,-3.88210097435552
"GRK3",-0.101609138104839,3.95430692857143,-2.27347031283485,0.0263567010967906,0.999989830735706,-3.57640683842138
"CNR1",-0.10173544354839,3.29232154761905,-2.46214791892427,0.0165101252659712,0.999989830735706,-3.1915344651727
"HLA-DQB1",-0.102207692540324,4.47565364285714,-2.10802597360955,0.0389440929246322,0.999989830735706,-3.89260051372207
"PLOD1",-0.102277273185482,6.24695038095238,-2.12184187195738,0.0377220335536396,0.999989830735706,-3.86697652117445
"IFI44",-0.103075433467743,2.8271530952381,-2.5513574106906,0.013127033091313,0.999989830735706,-3.00086212543121
"SAMD9",-0.10455125907258,3.11891588888889,-2.24394754505384,0.0282970405611133,0.999989830735706,-3.6343122247947
"ADARB1",-0.104671339213714,5.17736746031746,-2.6664284732589,0.00969269061992756,0.999989830735706,-2.74693099036661
"CLMP",-0.105500206653224,5.43226120634921,-2.60191304157878,0.0115012422448084,0.999989830735706,-2.89039379351137
"APOL6",-0.105559290322579,5.07810587301587,-2.59686434741859,0.0116549640260634,0.999989830735706,-2.90150317903993
"HLA-F",-0.10580420262097,6.14256066666667,-2.83923934566234,0.00605183729762898,0.999989830735706,-2.3492375754415
"MTSS2",-0.106047598286291,5.5829376984127,-2.29320020298097,0.0251264806535134,0.999989830735706,-3.53735501790345
"MIR495",-0.106138137096774,2.37281495238095,-2.37246878976643,0.0206815964528965,0.999989830735706,-3.3776261386551
"AKR7A2P1",-0.106256607862905,4.70810384126984,-2.59279469591899,0.0117802314294124,0.999989830735706,-2.9104457501504
"GABRA4",-0.106475755040324,3.17243823809524,-2.32708727966373,0.0231318885978281,0.999989830735706,-3.46962385430832
"ACSL1",-0.106680418346775,4.58851950793651,-2.69346962588404,0.00901496746102912,0.999989830735706,-2.68597919489497
"GCH1",-0.106872018145164,3.39962838095238,-3.02726890802776,0.0035517833576614,0.999989830735706,-1.89518987860204
"IL18BP",-0.107593281754033,4.85393346031746,-2.13751215372872,0.03637648700809,0.999989830735706,-3.83773937799415
"EDA2R",-0.107706139112905,4.49443657142857,-2.39699347551267,0.0194562014765049,0.999989830735706,-3.32729863664288
"MIR154",-0.107885075604841,3.49185865079365,-2.18993288043977,0.0321749827174394,0.999989830735706,-3.73859900176499
"WT1",-0.108076085181454,4.33951243650794,-2.94095182105509,0.00454794170153458,0.999989830735706,-2.10631339449573
"SAMSN1",-0.108105815524195,3.08509220634921,-2.32108614798056,0.023474519276763,0.999989830735706,-3.48167886067318
"ADA2",-0.108188743951615,4.46655379365079,-2.62983754266337,0.0106837813791525,0.999989830735706,-2.8286386702607
"SCIMP",-0.108848519153227,4.27793847619048,-2.90958597982637,0.0049700520217683,0.999989830735706,-2.18190909347982
"CXCL13",-0.108978491935484,2.23701158730159,-3.0875202513242,0.00298122220412555,0.999989830735706,-1.74518353749733
"CD81",-0.109033919354837,6.49573311111111,-3.2039816104504,0.00211285944703982,0.999989830735706,-1.44925112538584
